paper,scenario
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/Paper10_BRIDGET,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/ChildEducationTeam
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/Paper10_BRIDGET,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/HealthcareDiagnosisTeam
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/Paper11_OncologicalRadiotherapy,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/HealthcareDiagnosisTeam
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/Paper11_OncologicalRadiotherapy,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/ResearchHITeam
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/Paper1_TrustFactorsGame,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/ChildEducationTeam
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/Paper1_TrustFactorsGame,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/HealthcareDiagnosisTeam
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/Paper6_SocialAIHealthyLifestyle,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/ChildEducationTeam
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/Paper6_SocialAIHealthyLifestyle,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/HealthcareDiagnosisTeam
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/Paper8_ExplanationPatterns,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/ChildEducationTeam
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/Paper8_ExplanationPatterns,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/HealthcareDiagnosisTeam
