scenario,actor,capabilities,ethics,paperCount
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/ChildEducationTeam,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/Marie,"Communication, Collaborativeness","trustEthicInstance, fairnessEthicInstance, humanOversightEthicInstance",5
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/ChildEducationTeam,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/John,"Communication, reflectiveInteractionCapability","trustEthicInstance, fairnessEthicInstance, humanOversightEthicInstance",5
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/ChildEducationTeam,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/Alex,"Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None)","trustEthicInstance, fairnessEthicInstance, humanOversightEthicInstance",5
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/ChildEducationTeam,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/MIKE,"personalizationCapability, gazeAwarenessCapability, Adaptiveness, Communication","trustEthicInstance, fairnessEthicInstance, humanOversightEthicInstance",5
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/HealthcareDiagnosisTeam,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/Susan,"Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None), Non-literal passes as string: NotBoundError(None)","trustEthicInstance, transparencyEthicInstance, humanOversightEthicInstance, safetyEthicInstance",9
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/HealthcareDiagnosisTeam,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/PrimaryCaregiver,"Communication, Responsibility, sharedDecisionMakingCapability","trustEthicInstance, transparencyEthicInstance, humanOversightEthicInstance, safetyEthicInstance",9
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/HealthcareDiagnosisTeam,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/SpecialistA,"Responsibility, scientificValidationCapability","trustEthicInstance, transparencyEthicInstance, humanOversightEthicInstance, safetyEthicInstance",9
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/HealthcareDiagnosisTeam,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/SpecialistB,"Responsibility, scientificValidationCapability","trustEthicInstance, transparencyEthicInstance, humanOversightEthicInstance, safetyEthicInstance",9
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/HealthcareDiagnosisTeam,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/DiagnosisAISystem,"evidenceRetrievalCapability, Transparency, humanOversightCapabilityInstance, trustCalibrationCapability","trustEthicInstance, transparencyEthicInstance, humanOversightEthicInstance, safetyEthicInstance",9
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/ResearchHITeam,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/LeadScientist,"scientificValidationCapability, Transparency, Responsibility","transparencyEthicInstance, trustEthicInstance, humanOversightEthicInstance",2
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/ResearchHITeam,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/ResearchAISystem,"evidenceRetrievalCapability, explanationSupportCapabilityInstance, scientificValidationCapability, humanOversightCapabilityInstance","transparencyEthicInstance, trustEthicInstance, humanOversightEthicInstance",2
