scenario,actor,capabilities
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/ChildEducationTeam,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/Alex,Non-literal passes as string: NotBoundError(None)
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/ChildEducationTeam,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/John,"Communication, ReflectiveInteraction"
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/ChildEducationTeam,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/MIKE,"Personalization, GazeAwareness, Adaptiveness, Communication"
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/ChildEducationTeam,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/Marie,"Communication, Collaborativeness"
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/HealthcareDiagnosisTeam,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/DiagnosisAISystem,"EvidenceRetrieval, Transparency, HumanOversightCapability, TrustCalibration"
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/HealthcareDiagnosisTeam,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/PrimaryCaregiver,"Communication, Responsibility, SharedDecisionMaking"
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/HealthcareDiagnosisTeam,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/SpecialistA,"Responsibility, ScientificValidation"
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/HealthcareDiagnosisTeam,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/SpecialistB,"Responsibility, ScientificValidation"
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/HealthcareDiagnosisTeam,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/Susan,Non-literal passes as string: NotBoundError(None)
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/ResearchHITeam,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/LeadScientist,"ScientificValidation, Transparency, Responsibility"
http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/ResearchHITeam,http://www.semanticweb.org/vbr240/ontologies/2022/4/untitled-ontology-51/ResearchAISystem,"EvidenceRetrieval, Explainability, ScientificValidation, HumanOversightCapability"
